Date,GHI (W/m2),Civil Building Demand (kW) - 1,Week Day,Month,Sin Hour
2019-01-11 15:00:00,287.7083333333333,161.934,4,1,8.024659857791692
2019-01-11 16:00:00,139.4775,165.506,4,1,6.206858488414452
2019-01-11 17:00:00,15.271499999999998,169.565,4,1,3.96606997037041
2019-01-11 18:00:00,1.281,176.698,4,1,1.455000338086137
2019-01-11 19:00:00,1.2623333333333333,171.967,4,1,-1.1552251627369503
2019-01-11 20:00:00,0.9740833333333332,143.756,4,1,-3.6867239778193617
2019-01-11 21:00:00,0.9370833333333334,111.605,4,1,-5.966978646412833
2019-01-11 22:00:00,1.020333333333333,105.788,4,1,-7.840593581151714
2019-01-11 23:00:00,1.4821666666666669,102.616,4,1,-9.179885020528637
2019-01-12 00:00:00,1.3180833333333333,104.85,5,1,-9.893582466233818
2019-01-12 01:00:00,1.3019166666666666,114.262,5,1,-9.933048616783237
2019-01-12 02:00:00,0.9163333333333332,111.776,5,1,-9.29559391923785
2019-01-12 03:00:00,1.7660833333333334,111.02,5,1,-8.024659857791685
2019-01-12 04:00:00,1.085,109.27,5,1,-6.2068584884144515
2019-01-12 05:00:00,1.4266666666666667,108.817,5,1,-3.9660699703704005
2019-01-12 06:00:00,1.5768333333333333,107.64,5,1,-1.455000338086136
2019-01-12 07:00:00,3.195583333333333,106.621,5,1,1.1552251627369516
2019-01-12 08:00:00,71.04916666666666,108.586,5,1,3.686723977819363
2019-01-12 09:00:00,223.5583333333333,109.212,5,1,5.966978646412833
2019-01-12 10:00:00,359.725,109.494,5,1,7.8405935811517145
2019-01-12 11:00:00,457.4083333333333,112.716,5,1,9.17988502052864
2019-01-12 12:00:00,500.4083333333333,116.338,5,1,9.893582466233818
2019-01-12 13:00:00,485.225,117.971,5,1,9.933048616783237
2019-01-12 14:00:00,414.85,115.515,5,1,9.295593919237854
2019-01-12 15:00:00,295.77500000000003,116.242,5,1,8.024659857791692
2019-01-12 16:00:00,143.24166666666667,119.955,5,1,6.206858488414452
2019-01-12 17:00:00,16.54025,123.11,5,1,3.96606997037041
2019-01-12 18:00:00,1.2738333333333334,128.372,5,1,1.455000338086137
2019-01-12 19:00:00,1.084666666666667,127.309,5,1,-1.1552251627369503
2019-01-12 20:00:00,1.3755,122.176,5,1,-3.6867239778193617
2019-01-12 21:00:00,1.3316666666666668,119.395,5,1,-5.966978646412833
2019-01-12 22:00:00,1.0870833333333334,118.189,5,1,-7.840593581151714
2019-01-12 23:00:00,1.3756666666666666,117.172,5,1,-9.179885020528637
2019-01-13 00:00:00,0.9764166666666668,116.052,6,1,-9.893582466233818
2019-01-13 01:00:00,2.133083333333333,137.483,6,1,-9.933048616783237
2019-01-13 02:00:00,3.20675,132.625,6,1,-9.29559391923785
2019-01-13 03:00:00,2.6015833333333336,128.695,6,1,-8.024659857791685
2019-01-13 04:00:00,2.9640833333333334,127.6,6,1,-6.2068584884144515
