DateTime,Civil Building Demand (kW),GHI (W/m2),Civil Building Demand (kW) - 1,Week Day,Month,Sin Hour
2017-09-29 06:00:00,95.7392135,7.86975,81.5643158,4,9,-1.455000338086136
2017-09-29 07:00:00,167.971001,129.42499999999998,95.7392135,4,9,1.1552251627369516
2017-09-29 08:00:00,242.8427446,316.15833333333336,167.971001,4,9,3.686723977819363
2017-09-29 09:00:00,282.8424034,495.5,242.8427446,4,9,5.966978646412833
2017-09-29 10:00:00,321.0550473,630.475,282.8424034,4,9,7.8405935811517145
2017-09-29 11:00:00,349.9338266,713.875,321.0550473,4,9,9.17988502052864
2017-09-29 12:00:00,353.56589,731.75,349.9338266,4,9,9.893582466233818
2017-09-29 13:00:00,339.3081417,717.275,353.56589,4,9,9.933048616783237
2017-09-29 14:00:00,343.6514985,629.3666666666667,339.3081417,4,9,9.295593919237854
2017-09-29 15:00:00,358.3540438,492.175,343.6514985,4,9,8.024659857791692
2017-09-29 16:00:00,355.9362953,319.46666666666664,358.3540438,4,9,6.206858488414452
2017-09-29 17:00:00,282.7112551,199.0666666666667,355.9362953,4,9,3.96606997037041
2017-09-29 18:00:00,234.4981238,31.562197500000007,282.7112551,4,9,1.455000338086137
2017-09-29 19:00:00,162.051192,31.562197500000007,234.4981238,4,9,-1.1552251627369503
2017-09-29 20:00:00,119.9816045,31.562197500000007,162.051192,4,9,-3.6867239778193617
2017-09-29 21:00:00,109.2507337,31.562197500000007,119.9816045,4,9,-5.966978646412833
2017-09-29 22:00:00,91.9716111,31.562197500000007,109.2507337,4,9,-7.840593581151714
2017-09-29 23:00:00,87.5224957,31.562197500000007,91.9716111,4,9,-9.179885020528637
2017-09-30 00:00:00,86.2627466,31.562197500000007,87.5224957,5,9,-9.893582466233818
2017-09-30 01:00:00,85.1858797,31.562197500000007,86.2627466,5,9,-9.933048616783237
2017-09-30 02:00:00,83.2369816,31.562197500000007,85.1858797,5,9,-9.29559391923785
2017-09-30 03:00:00,81.8714739,31.562197500000007,83.2369816,5,9,-8.024659857791685
2017-09-30 04:00:00,82.1265163,31.562197500000007,81.8714739,5,9,-6.2068584884144515
2017-09-30 05:00:00,81.0586217,31.562197500000007,82.1265163,5,9,-3.9660699703704005
2017-09-30 06:00:00,81.0763754,31.562197500000007,81.0586217,5,9,-1.455000338086136
2017-09-30 07:00:00,89.9411987,31.562197500000007,81.0763754,5,9,1.1552251627369516
2017-09-30 08:00:00,92.7987808,31.562197500000007,89.9411987,5,9,3.686723977819363
2017-09-30 09:00:00,99.844518,31.562197500000007,92.7987808,5,9,5.966978646412833
2017-09-30 10:00:00,103.0373205,31.562197500000007,99.844518,5,9,7.8405935811517145
2017-09-30 11:00:00,103.0789367,31.562197500000007,103.0373205,5,9,9.17988502052864
2017-09-30 12:00:00,106.0447591,31.562197500000007,103.0789367,5,9,9.893582466233818
2017-09-30 13:00:00,104.8581247,31.562197500000007,106.0447591,5,9,9.933048616783237
2017-09-30 14:00:00,105.6914032,31.562197500000007,104.8581247,5,9,9.295593919237854
2017-09-30 15:00:00,106.4070873,31.562197500000007,105.6914032,5,9,8.024659857791692
2017-09-30 16:00:00,103.645337,31.562197500000007,106.4070873,5,9,6.206858488414452
2017-09-30 17:00:00,102.3187729,31.562197500000007,103.645337,5,9,3.96606997037041
2017-09-30 18:00:00,101.0991128,31.562197500000007,102.3187729,5,9,1.455000338086137
2017-09-30 19:00:00,104.3243683,31.562197500000007,101.0991128,5,9,-1.1552251627369503
2017-09-30 20:00:00,96.7349479,31.562197500000007,104.3243683,5,9,-3.6867239778193617
2017-09-30 21:00:00,93.0158341,31.562197500000007,96.7349479,5,9,-5.966978646412833
2017-09-30 22:00:00,91.7627665,31.562197500000007,93.0158341,5,9,-7.840593581151714
2017-09-30 23:00:00,91.6344817,31.562197500000007,91.7627665,5,9,-9.179885020528637
2017-10-01 00:00:00,90.7158709,31.562197500000007,91.6344817,6,10,-9.893582466233818
2017-10-01 01:00:00,89.3667806,31.562197500000007,90.7158709,6,10,-9.933048616783237
2017-10-01 02:00:00,87.8155272,31.562197500000007,89.3667806,6,10,-9.29559391923785
2017-10-01 03:00:00,87.3378954,31.562197500000007,87.8155272,6,10,-8.024659857791685
2017-10-01 04:00:00,86.5821223,31.562197500000007,87.3378954,6,10,-6.2068584884144515
2017-10-01 05:00:00,83.3790112,31.562197500000007,86.5821223,6,10,-3.9660699703704005
2017-10-01 06:00:00,83.5985462,31.562197500000007,83.3790112,6,10,-1.455000338086136
2017-10-01 07:00:00,81.8048498,31.562197500000007,83.5985462,6,10,1.1552251627369516
2017-10-01 08:00:00,81.3827699,31.562197500000007,81.8048498,6,10,3.686723977819363
